ID,Date,Lake,Ecotype,Lake_type,Trial_end_time,Treatment,Stage,Fanning_time,Nest_time,Fan_prop,Latency_return,Brain,Time_in_PFA_or_RNALater,Mass,SL,Bodycondition,Nest_depth,Percent_cover,Embryos_stage,Embryos_score
SR-02,5/24/24,South Rolly,Limnetic,Pike,1246,Pike,Baseline,40.569,97.279,0.417037593,NA,IHC,1348,NA,NA,NA,0.3,0.06,No eyes,2
SR-05,5/24/24,South Rolly,Limnetic,Pike,1325,Trout,Baseline,0,13.246,0,NA,IHC,1430,NA,NA,NA,0.38,0,No eyes,2
SR-07,5/24/24,South Rolly,Limnetic,Pike,1504,Char,Baseline,0,17.941,0,NA,IHC,1606,NA,NA,NA,0.45,0.13,No eyes,2
SR-08,5/25/24,South Rolly,Limnetic,Pike,1130,Pike,Baseline,1.503,87.562,0.01716498,NA,IHC,1239,0.97,45.05,1.06093151,0.58,0.13,None,1
SR-15,5/25/24,South Rolly,Limnetic,Pike,1145,Trout,Baseline,87.44,140.136,0.623965291,NA,IHC,1256,1.16,47.79,1.062788625,0.51,0.06,No eyes,2
SR-50,5/25/24,South Rolly,Limnetic,Pike,1317,Char,Baseline,25.18,132.57,0.189937392,NA,IHC,1420,1.38,47.11,1.319896185,0.5,0.56,None,1
SR-51,5/25/24,South Rolly,Limnetic,Pike,1344,Char,Baseline,0,25.656,0,NA,RNA,1447,1.56,52.21,1.096133671,0.38,1,None,1
SR-52,5/25/24,South Rolly,Limnetic,Pike,1406,Trout,Baseline,56.346,189.885,0.296737499,NA,RNA,1510,1.1,46.71,1.079351957,0.52,0,NA,NA
SR-10,5/27/24,South Rolly,Limnetic,Pike,1149,Pike,Baseline,97.425,130.025,0.749278985,NA,RNA,1251,1.06,55.9,0.606834749,0.5,0,NA,NA
SP-01,5/30/24,Spirit,Limnetic,No Pike,1138,Pike,Baseline,11.522,106.369,0.108321033,NA,IHC,1245,1.16,40.67,1.724389906,0.48,0,No eyes,2
SP-50,5/30/24,Spirit,Limnetic,No Pike,1149,Trout,Baseline,36.797,77.042,0.477622595,NA,IHC,1301,0.89,42.31,1.175062402,0.71,0.13,None,1
SP-02,5/30/24,Spirit,Limnetic,No Pike,1200,Char,Baseline,50.827,130.418,0.389723811,NA,IHC,1306,1.37,48.71,1.185403427,0.62,0.5,No eyes,2
SP-03,5/30/24,Spirit,Limnetic,No Pike,1213,Trout,Baseline,0,55.272,0,NA,IHC,1327,0.86,43.25,1.06301677,0.64,0.25,None,1
SP-51,5/30/24,Spirit,Limnetic,No Pike,1225,Pike,Baseline,34.989,70.695,0.49492892,NA,IHC,1335,0.95,45.54,1.005876186,0.68,0.5,No eyes,2
SP-52,5/30/24,Spirit,Limnetic,No Pike,1454,Char,Baseline,0.322,29.261,0.011004409,NA,IHC,1630,1.87,52.03,1.327639389,0.79,0.25,No eyes,2
SP-06,5/31/24,Spirit,Limnetic,No Pike,1154,Trout,Baseline,39.916,81.76,0.488209393,NA,RNA,1300,1.19,49.9,0.957734924,0.36,0.25,None,1
SP-10,5/31/24,Spirit,Limnetic,No Pike,1211,Char,Baseline,59.027,80.608,0.732272231,NA,RNA,1317,1.37,50,1.096,0.8,0.81,Eyes,3
SP-11,5/31/24,Spirit,Limnetic,No Pike,1221,Pike,Baseline,34.092,45.288,0.752782194,NA,RNA,1331,1.79,50.1,1.423442254,0.89,0.69,None,1
SP-61,6/2/24,Spirit,Limnetic,No Pike,1130,Char,Baseline,57.086,67.755,0.842535606,NA,RNA,1243,1.68,54.4,1.043548367,0.69,0.81,None,1
SP-62,6/2/24,Spirit,Limnetic,No Pike,1140,Pike,Baseline,0,84.017,0,NA,RNA,1258,1.33,50.4,1.038867193,0.89,0.63,No eyes,2
WT-1,6/4/24,Watson,Benthic,No Pike,1316,Pike,Baseline,89.862,99.333,0.904654042,NA,RNA,1417,1.21,47.66,1.117694867,0.5,0.44,None,1
WT-2,6/4/24,Watson,Benthic,No Pike,1325,Char,Baseline,64.695,91.39,0.707900208,NA,RNA,1428,1.49,46.7,1.462970695,0.56,0.25,No eyes,2
WT-3,6/4/24,Watson,Benthic,No Pike,1354,Trout,Baseline,62.65,142.419,0.439899171,NA,RNA,1454,1.53,44.7,1.713045354,0.61,0.19,None,1
WT-4,6/6/24,Watson,Benthic,No Pike,1213,Trout,Baseline,60.517,68.358,0.885295064,NA,IHC,1319,0.78,42.6,1.008941081,0.51,0.13,None,1
WT-5,6/6/24,Watson,Benthic,No Pike,1229,Pike,Baseline,30.653,66.765,0.459117801,NA,IHC,1333,0.92,45.3,0.989676416,0.45,0.38,No eyes,2
WT-6,6/6/24,Watson,Benthic,No Pike,1241,Char,Baseline,52.825,100.1,0.527722278,NA,IHC,1343,1.39,46.29,1.401371426,0.48,0.13,None,1
WT-7,6/6/24,Watson,Benthic,No Pike,1256,Trout,Baseline,71.253,73.677,0.967099638,NA,NA,NA,1.83,42.7,2.350539018,0.52,0.25,No eyes,2
WT-8,6/6/24,Watson,Benthic,No Pike,NA,Pike,Baseline,0,0,0,NA,NA,NA,1.33,47.6,1.233192239,0.58,0.25,None,1
WT-10,6/7/24,Watson,Benthic,No Pike,1310,Pike,Baseline,0,37.529,0,NA,IHC,1413,1.05,41.5,1.46907852,0.48,0.19,Mixed,5
WT-13,6/7/24,Watson,Benthic,No Pike,NA,Trout,Baseline,88.708,103.754,0.854983904,NA,NA,NA,1.12,46.7,1.09968267,0.67,0.13,Mixed,5
